layer,group,C,tensor_max,outlier_ratio,kurtosis,frac_outlier_ch
backbone.encoder_layers.1.blocks.1.mlp.fc2,encoder/mlp,4096,12.94,4.705,137.4,0
backbone.decoder_layers.1.blocks.4.mlp.fc1,decoder/mlp,1024,6.459,4.592,17.46,0
backbone.encoder_layers.2.blocks.0.attn.qkv,encoder/attn,2048,4.344,4.539,9.563,0
backbone.encoder_layers.2.blocks.1.attn.qkv,encoder/attn,2048,4.332,4.519,10.28,0
backbone.encoder_layers.2.blocks.1.mlp.fc1,encoder/mlp,2048,4.329,4.515,9.125,0
backbone.decoder_layers.1.blocks.4.attn.qkv,decoder/attn,1024,6.101,4.512,17.34,0
backbone.encoder_layers.2.blocks.0.mlp.fc1,encoder/mlp,2048,4.339,4.488,8.47,0
backbone.encoder_layers.1.blocks.8.mlp.fc2,encoder/mlp,4096,13.88,4.462,150.1,0
backbone.encoder_layers.2.blocks.2.attn.qkv,encoder/attn,2048,4.321,4.423,10.5,0
backbone.encoder_layers.2.blocks.2.mlp.fc1,encoder/mlp,2048,4.316,4.396,9.207,0
backbone.decoder_layers.1.blocks.5.attn.qkv,decoder/attn,1024,6.669,4.396,17.58,0
backbone.encoder_layers.2.blocks.3.attn.qkv,encoder/attn,2048,4.307,4.282,10.43,0
backbone.decoder_layers.1.blocks.5.mlp.fc1,decoder/mlp,1024,6.812,4.275,17.47,0
backbone.decoder_layers.2.blocks.2.mlp.fc2,decoder/mlp,2048,17,4.25,312.8,0
backbone.encoder_layers.2.blocks.3.mlp.fc1,encoder/mlp,2048,4.304,4.245,9.112,0
backbone.decoder_layers.2.blocks.0.attn.qkv,decoder/attn,512,32.19,4.214,34.72,0
backbone.decoder_layers.2.blocks.0.mlp.fc1,decoder/mlp,512,32.21,4.203,34.39,0
backbone.decoder_layers.2.blocks.1.attn.qkv,decoder/attn,512,32.19,4.164,34.41,0
backbone.encoder_layers.2.blocks.4.attn.qkv,encoder/attn,2048,4.295,4.153,10.31,0
decoder.level_decoder.layers.0.0.to_kv,decoder/misc,1024,28.57,4.15,31.66,0
backbone.encoder_layers.1.blocks.6.mlp.fc2,encoder/mlp,4096,11.31,4.137,56.42,0
backbone.encoder_layers.2.blocks.4.mlp.fc1,encoder/mlp,2048,4.289,4.121,9.055,0
backbone.decoder_layers.1.blocks.0.mlp.fc2,decoder/mlp,4096,6.406,4.121,30.35,0
backbone.decoder_layers.1.blocks.7.mlp.fc2,decoder/mlp,4096,9,4.085,58.73,0
backbone.decoder_layers.1.blocks.6.mlp.fc1,decoder/mlp,1024,7.409,4.072,16.26,0
backbone.decoder_layers.2.blocks.2.attn.proj,decoder/attn,512,57.25,4.053,13.54,0
encoder.level_agg.layers.0.0.to_q,encoder/misc,512,0.521,4.042,6.424,0
backbone.encoder_layers.2.blocks.5.attn.qkv,encoder/attn,2048,4.283,4.036,10.26,0
backbone.encoder_layers.1.blocks.4.mlp.fc2,encoder/mlp,4096,10.44,4.024,89.96,0
backbone.decoder_layers.1.blocks.6.attn.qkv,decoder/attn,1024,6.962,4.022,17.06,0
backbone.decoder_layers.0.blocks.2.mlp.fc1,decoder/mlp,2048,5.394,4.021,9.754,0
backbone.encoder_layers.2.blocks.5.mlp.fc1,encoder/mlp,2048,4.278,4.012,8.964,0
backbone.encoder_layers.2.blocks.2.mlp.fc2,encoder/mlp,8192,10.19,4,183.6,0
backbone.decoder_layers.2.blocks.1.mlp.fc1,decoder/mlp,512,32.16,3.973,32.87,0
backbone.encoder_layers.2.blocks.6.attn.qkv,encoder/attn,2048,4.273,3.956,10.19,0
backbone.decoder_layers.0.blocks.2.attn.qkv,decoder/attn,2048,5.159,3.953,10.84,0
backbone.decoder_layers.2.blocks.2.attn.qkv,decoder/attn,512,32.1,3.941,32.63,0
backbone.encoder_layers.2.blocks.6.mlp.fc1,encoder/mlp,2048,4.269,3.935,8.982,0
backbone.encoder_layers.0.blocks.0.attn.proj,encoder/attn,512,17.38,3.915,10.29,0
backbone.encoder_layers.2.blocks.7.attn.qkv,encoder/attn,2048,4.265,3.896,10.25,0
backbone.decoder_layers.2.blocks.2.mlp.fc1,decoder/mlp,512,32.05,3.895,32.35,0
backbone.decoder_layers.0.blocks.2.attn.proj,decoder/attn,2048,12.31,3.882,11.73,0
backbone.decoder_layers.0.blocks.3.mlp.fc1,decoder/mlp,2048,5.538,3.88,9.784,0
backbone.decoder_layers.0.blocks.3.attn.qkv,decoder/attn,2048,5.476,3.874,11.07,0
backbone.encoder_layers.2.blocks.7.mlp.fc1,encoder/mlp,2048,4.259,3.872,8.998,0
backbone.decoder_layers.0.blocks.0.attn.qkv,decoder/attn,2048,4.256,3.844,10.39,0
backbone.decoder_layers.2.blocks.3.attn.qkv,decoder/attn,512,32.04,3.829,32.11,0
backbone.decoder_layers.1.blocks.9.mlp.fc2,decoder/mlp,4096,9.75,3.828,45.07,0
backbone.decoder_layers.0.blocks.4.mlp.fc1,decoder/mlp,2048,5.799,3.752,9.794,0
backbone.decoder_layers.0.upsample.lin2,decoder/misc,1024,2.587,3.724,6.514,0
backbone.encoder_layers.0.blocks.1.attn.proj,encoder/attn,512,13.56,3.709,9.027,0
backbone.decoder_layers.1.blocks.7.attn.qkv,decoder/attn,1024,7.409,3.706,15.66,0
backbone.decoder_layers.0.blocks.1.mlp.fc1,decoder/mlp,2048,4.65,3.705,8.812,0
backbone.encoder_layers.0.blocks.4.attn.proj,encoder/attn,512,27.5,3.697,15.95,0
backbone.decoder_layers.2.blocks.3.mlp.fc1,decoder/mlp,512,32.01,3.695,30.9,0
backbone.decoder_layers.0.blocks.4.attn.qkv,decoder/attn,2048,5.6,3.684,10.94,0
backbone.decoder_layers.0.blocks.0.mlp.fc1,decoder/mlp,2048,4.26,3.65,8.359,0
backbone.encoder_layers.1.blocks.2.attn.proj,encoder/attn,1024,11.69,3.631,13.68,0
backbone.decoder_layers.0.blocks.1.attn.qkv,decoder/attn,2048,4.382,3.599,9.931,0
backbone.decoder_layers.2.blocks.4.attn.qkv,decoder/attn,512,32,3.58,30.73,0
backbone.encoder_layers.2.blocks.0.mlp.fc2,encoder/mlp,8192,9.562,3.579,34.49,0
backbone.decoder_layers.2.blocks.4.mlp.fc1,decoder/mlp,512,31.99,3.569,30.59,0
backbone.encoder_layers.1.blocks.0.attn.proj,encoder/attn,1024,22.75,3.569,11.5,0
backbone.decoder_layers.0.blocks.5.attn.qkv,decoder/attn,2048,5.849,3.563,10.99,0
backbone.decoder_layers.0.blocks.5.mlp.fc1,decoder/mlp,2048,5.878,3.546,9.606,0
backbone.encoder_layers.2.blocks.1.mlp.fc2,encoder/mlp,8192,8.875,3.528,85.42,0
backbone.encoder_layers.2.blocks.2.attn.proj,encoder/attn,2048,8.312,3.523,9.771,0
backbone.encoder_layers.0.blocks.3.attn.proj,encoder/attn,512,9.75,3.506,11.82,0
backbone.decoder_layers.1.blocks.7.mlp.fc1,decoder/mlp,1024,7.405,3.502,15.27,0
backbone.encoder_layers.0.blocks.4.mlp.fc2,encoder/mlp,2048,20.12,3.5,33.65,0
backbone.decoder_layers.2.blocks.5.attn.qkv,decoder/attn,512,31.98,3.499,30.48,0
backbone.decoder_layers.0.blocks.6.attn.qkv,decoder/attn,2048,6.122,3.494,10.7,0
backbone.decoder_layers.0.blocks.1.attn.proj,decoder/attn,2048,11.44,3.486,9.609,0
backbone.decoder_layers.0.blocks.6.mlp.fc1,decoder/mlp,2048,6.141,3.477,9.251,0
backbone.decoder_layers.0.blocks.0.attn.proj,decoder/attn,2048,9.812,3.47,9.937,0
backbone.decoder_layers.1.blocks.5.mlp.fc2,decoder/mlp,4096,6.906,3.467,51.53,0
backbone.encoder_layers.0.blocks.2.attn.proj,encoder/attn,512,26.88,3.44,12.95,0
backbone.decoder_layers.0.blocks.7.mlp.fc1,decoder/mlp,2048,6.343,3.41,9.036,0
backbone.decoder_layers.0.blocks.7.attn.qkv,decoder/attn,2048,6.325,3.402,10.28,0
backbone.decoder_layers.0.blocks.7.mlp.fc2,decoder/mlp,8192,11.25,3.396,61.96,0
backbone.decoder_layers.2.blocks.5.mlp.fc1,decoder/mlp,512,31.96,3.39,29.74,0
backbone.encoder_layers.1.blocks.9.mlp.fc2,encoder/mlp,4096,11.5,3.345,99.58,0
