group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
dec2_mlp,RMSE U500,168,6.6741063594818115,6.697262326876323,0.023155967394510906,-0.05384003122647603,0.09610570271809896,0.34695232810627213,0.05633675532878414,-0.1309888122756248,0.2338180637192405,0.01472438330437178,share,12,False,-0.023263313166847762,12,12.571617226557313
upsample,RMSE U500,168,6.6741063594818115,6.747134367624919,0.0730280081431071,-0.08525531888008117,0.22807590564092,1.0941990464289981,0.177671740368832,-0.20741988267625353,0.5548918027725857,0.04643694497984089,share,7,False,0.4401918234779648,12,4.6644467832358885
decoder_io,RMSE U500,168,6.6741063594818115,7.248904546101888,0.5747981866200765,0.3797321786483129,0.8166346609592433,8.612361800370001,1.398441457933657,0.9238602937421353,1.986811706185563,0.36550184573407646,share,2,True,-0.10298642301120342,12,14.755447872445918
decoder_heads,RMSE U500,168,6.6741063594818115,6.7667012214660645,0.09259486198425293,-0.016865816712379453,0.23224503099918356,1.3873746835440326,0.2252764479857558,-0.04103328413610892,0.5650349762898882,0.058879087910390475,share,5,False,-0.029565858770652046,12,12.731199141032643
encoder_io,RMSE MSLP,168,476.1066157023112,603.023447672526,126.91683197021484,88.70084444681804,165.85095475514728,26.65722923908506,1.9929167891392778,1.3928286687015696,2.6042814581432405,0.6693446140316979,share,1,True,0.1270757838257022,12,9.294042818075049
enc0_attn,RMSE MSLP,168,476.1066157023112,472.1988245646159,-3.9077911376953125,-11.340339024861654,4.435625712076823,-0.8207806841606008,-0.061362251530122904,-0.17807214130968887,0.06965059570672485,-0.0206092360656387,share,11,False,-0.1095272608750363,12,14.951976119542929
enc0_mlp,RMSE MSLP,168,476.1066157023112,469.4286651611328,-6.677950541178386,-17.414755503336586,4.7897240956624305,-1.4026166242885856,-0.10486079382819315,-0.27345591662341556,0.07521084018099954,-0.035218734647874055,share,8,False,-0.03316528769416301,12,12.823270921625873
enc1_attn,RMSE MSLP,168,476.1066157023112,494.03370412190753,17.927088419596355,0.047620391845703165,42.196883265177405,3.7653516729969962,0.281500845373941,0.0007477611672261499,0.6625983000289345,0.09454537977864821,share,5,True,0.0759497225849912,12,10.305874983023845
enc1_mlp,RMSE MSLP,168,476.1066157023112,534.0803807576498,57.97376505533854,32.1885897954305,90.74935932159423,12.176635052596499,0.910335437111404,0.5054426589932954,1.4249955580208769,0.3057468957627041,share,3,True,0.06726015191669972,12,10.487488132015645
enc2_attn,RMSE MSLP,168,476.1066157023112,478.1295928955078,2.0229771931966147,-0.09190451304117839,3.3398487726847326,0.42490003845304564,0.031765882820913284,-0.0014431344069509874,0.05244411311678242,0.010668946486884354,share,16,False,0.09580833713757077,12,9.901640265570432
enc2_mlp,RMSE MSLP,168,476.1066157023112,477.26668039957684,1.160064697265625,-1.1454169591267904,4.116777102152506,0.2436564960464576,0.018215963759724188,-0.017985957047402138,0.0646438622573663,0.006118046322061405,share,17,False,-0.021493578614022783,12,12.527176802790818
downsample,RMSE MSLP,168,476.1066157023112,532.6750259399414,56.56841023763021,35.337402216593425,81.2508289337158,11.881458558223434,0.8882677951175826,0.5548870159203466,1.275844492805232,0.29833521786755046,share,4,True,-0.1112059504633833,12,15.002881052717088
dec0_attn,RMSE MSLP,168,476.1066157023112,479.2963511149089,3.1897354125976562,-2.526758321126302,10.810956637064614,0.6699624217345594,0.05008695188806649,-0.039676526762437256,0.16975949252908462,0.016822293666370995,share,12,False,0.28625354219939264,12,6.658840743763382
dec0_mlp,RMSE MSLP,168,476.1066157023112,483.0749282836914,6.968312581380208,3.9956487019856772,10.645549392700193,1.4636033929293666,0.10942021574145638,0.06274183855738374,0.16716217845165415,0.0367500702848521,share,7,True,0.07240959561996413,12,10.379508816428958
dec1_attn,RMSE MSLP,168,476.1066157023112,473.69775644938153,-2.4088592529296875,-8.749102719624839,5.581621042887369,-0.5059495443843701,-0.037825211780922026,-0.13738314634213714,0.08764563465934812,-0.012704043599885141,share,15,False,0.3107771299382882,12,6.30974881376663
