seed,k,cost,config
6,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,0,0,
7,1,0.0574384,bf16:dec1_attn
7,2,0.0660542,bf16:dec1_attn|upsample
7,3,0.118336,bf16:dec0_attn|dec1_attn|upsample
7,4,0.175774,bf16:dec0_attn|dec1_attn|enc1_attn|upsample
7,5,0.2447,bf16:dec0_attn|dec1_attn|dec2_mlp|enc1_attn|upsample
7,6,0.279163,bf16:dec0_attn|dec1_attn|dec2_mlp|enc0_attn|enc1_attn|upsample
7,7,0.313627,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|enc0_attn|enc1_attn|upsample
7,8,0.405528,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|enc0_attn|enc1_attn|enc2_mlp|upsample
7,9,0.428503,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|enc0_attn|enc1_attn|enc2_mlp|encoder_io|upsample
7,10,0.434247,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|downsample|enc0_attn|enc1_attn|enc2_mlp|encoder_io|upsample
7,11,0.549124,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|upsample
7,12,0.549127,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
7,13,0.601408,bf16:dec0_attn|dec1_attn|dec2_attn|dec2_mlp|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,14,0.602127,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
