var,tag,lead,k,ratio
Z500,W8A8_floor,120,457,8.413960404
Z500,W8A8_floor,120,458,8.342374218
Z500,W8A8_floor,120,459,10.23136499
Z500,W8A8_floor,120,460,8.877929816
Z500,W8A8_floor,120,461,8.82348572
Z500,W8A8_floor,120,462,9.407584324
Z500,W8A8_floor,120,463,9.505354258
Z500,W8A8_floor,120,464,9.501220443
Z500,W8A8_floor,120,465,9.509057617
Z500,W8A8_floor,120,466,9.596072254
Z500,W8A8_floor,120,467,10.33472814
Z500,W8A8_floor,120,468,10.10884708
Z500,W8A8_floor,120,469,10.35558576
Z500,W8A8_floor,120,470,10.09502558
Z500,W8A8_floor,120,471,10.32762941
Z500,W8A8_floor,120,472,9.936989136
Z500,W8A8_floor,120,473,10.15902968
Z500,W8A8_floor,120,474,10.2093503
Z500,W8A8_floor,120,475,11.02458022
Z500,W8A8_floor,120,476,10.72936562
Z500,W8A8_floor,120,477,10.99833783
Z500,W8A8_floor,120,478,11.5861457
Z500,W8A8_floor,120,479,11.26101121
Z500,W8A8_floor,120,480,11.01572059
Z500,W8A8_floor,120,481,11.16369258
Z500,W8A8_floor,120,482,11.47388109
Z500,W8A8_floor,120,483,11.93874796
Z500,W8A8_floor,120,484,11.39645334
Z500,W8A8_floor,120,485,11.73907952
Z500,W8A8_floor,120,486,12.26673881
Z500,W8A8_floor,120,487,12.72076702
Z500,W8A8_floor,120,488,12.67237991
Z500,W8A8_floor,120,489,12.65474184
Z500,W8A8_floor,120,490,12.54585481
Z500,W8A8_floor,120,491,13.21477514
Z500,W8A8_floor,120,492,13.16174094
Z500,W8A8_floor,120,493,12.95905352
Z500,W8A8_floor,120,494,12.60771936
Z500,W8A8_floor,120,495,13.03090266
Z500,W8A8_floor,120,496,13.23738644
Z500,W8A8_floor,120,497,13.15724808
Z500,W8A8_floor,120,498,12.84629883
Z500,W8A8_floor,120,499,13.13437142
Z500,W8A8_floor,120,500,13.36304099
Z500,W8A8_floor,120,501,12.81881731
Z500,W8A8_floor,120,502,10.85171838
Z500,W8A8_floor,120,503,13.06951764
Z500,W8A8_floor,120,504,12.67905468
Z500,W8A8_floor,120,505,12.44433359
Z500,W8A8_floor,120,506,12.62985214
Z500,W8A8_floor,120,507,11.65996913
Z500,W8A8_floor,120,508,9.15237576
Z500,W8A8_floor,120,509,12.15168518
Z500,W8A8_floor,120,510,8.979845438
Z500,W8A8_floor,120,511,11.99784842
Z500,W8A8_floor,120,512,12.91666175
Z500,W8A8_floor,120,513,12.65037303
Z500,W8A8_floor,120,514,12.8262436
Z500,W8A8_floor,120,515,12.65963414
Z500,W8A8_floor,120,516,11.30712901
Z500,W8A8_floor,120,517,11.96115428
Z500,W8A8_floor,120,518,11.75191802
Z500,W8A8_floor,120,519,13.30634662
Z500,W8A8_floor,120,520,13.03987206
Z500,W8A8_floor,120,521,12.3881397
Z500,W8A8_floor,120,522,12.47729221
Z500,W8A8_floor,120,523,12.53854621
Z500,W8A8_floor,120,524,12.82572033
Z500,W8A8_floor,120,525,11.6617719
Z500,W8A8_floor,120,526,12.11354825
Z500,W8A8_floor,120,527,12.25536797
Z500,W8A8_floor,120,528,12.72416362
Z500,W8A8_floor,120,529,12.89254635
Z500,W8A8_floor,120,530,11.51736723
Z500,W8A8_floor,120,531,10.02901573
Z500,W8A8_floor,120,532,9.289112507
Z500,W8A8_floor,120,533,10.19779229
Z500,W8A8_floor,120,534,10.18943297
Z500,W8A8_floor,120,535,10.55705285
Z500,W8A8_floor,120,536,9.938425266
Z500,W8A8_floor,120,537,10.3827432
Z500,W8A8_floor,120,538,10.10017067
Z500,W8A8_floor,120,539,9.883093749
Z500,W8A8_floor,120,540,5.201384929
Z500,W8A8_floor,120,541,9.919344326
Z500,W8A8_floor,120,542,10.10889043
Z500,W8A8_floor,120,543,10.42997279
Z500,W8A8_floor,120,544,10.03312056
Z500,W8A8_floor,120,545,10.6970412
Z500,W8A8_floor,120,546,10.30969748
Z500,W8A8_floor,120,547,10.26850891
Z500,W8A8_floor,120,548,9.397610348
Z500,W8A8_floor,120,549,10.0729625
Z500,W8A8_floor,120,550,11.58953565
Z500,W8A8_floor,120,551,13.01470747
Z500,W8A8_floor,120,552,12.81854348
Z500,W8A8_floor,120,553,12.29423769
Z500,W8A8_floor,120,554,12.26513654
Z500,W8A8_floor,120,555,11.85910864
Z500,W8A8_floor,120,556,13.06719223
